id,name,source_file,section_d_found,applicants,admitted,enrolled,acceptance_rate_percent,notes
160755,Tulane University of Louisiana,Common_Data_Sets_2025/2024-25 Tulane University.pdf,True,849,510,153,60.07,"Used legacy CDS.txt minimum credits fallback.; Used legacy CDS.txt residency credits fallback. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
110635,University of California-Berkeley,"Common_Data_Sets_2025/2024-25 University of California, Berkeley.xlsx.pdf",True,21469,5485,2691,25.55,"Used legacy CDS.txt residency credits fallback. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
110644,University of California-Davis,"Common_Data_Sets_2025/2024-25 University of California, Davis.pdf",True,16516,9608,2605,58.17,"Used legacy CDS.txt minimum credits fallback.; Used legacy CDS.txt max credits fallback.; Used legacy CDS.txt residency credits fallback. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
110653,University of California-Irvine,"Common_Data_Sets_2025/2024-25 University of California, Irvine.pdf",True,25103,10023,2719,39.93,"Used legacy CDS.txt residency credits fallback. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
110662,University of California-Los Angeles,"Common_Data_Sets_2025/2024-25 University of California, Los Angeles.pdf",True,,,,22.8,"Could not confidently parse D2 applicants/admitted/enrolled.; Used legacy CDS.txt acceptance rate fallback.; Used legacy CDS.txt minimum credits fallback.; Used legacy CDS.txt max credits fallback. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
110671,University of California-Riverside,"Common_Data_Sets_2025/2024-25 University of California, Riverside.pdf",True,12293,7180,1268,58.41,"Used legacy CDS.txt residency credits fallback. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
110680,University of California-San Diego,"Common_Data_Sets_2025/2024-25 University of California, San Diego.pdf",True,22510,12280,3757,54.55,"Used legacy CDS.txt minimum credits fallback.; Used legacy CDS.txt residency credits fallback. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
110705,University of California-Santa Barbara,"Common_Data_Sets_2025/2024-25 University of California, Santa Barbara.pdf",True,18440,11369,2109,61.65,"Used legacy CDS.txt minimum credits fallback.; Used legacy CDS.txt max credits fallback.; Used legacy CDS.txt residency credits fallback. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
110714,University of California-Santa Cruz,"Common_Data_Sets_2025/2024-25 University of California, Santa Cruz.pdf",True,,,,64.4,"Could not confidently parse D2 applicants/admitted/enrolled.; Used legacy CDS.txt acceptance rate fallback.; Used legacy CDS.txt minimum credits fallback.; Used legacy CDS.txt max credits fallback.; Used legacy CDS.txt residency credits fallback.; Official UC transfer dates page fallback; winter date is represented in app term overrides. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
144050,University of Chicago,Common_Data_Sets_2025/2024-25 University of Chicago.pdf,True,2884,268,231,9.29,"Official UChicago admissions PDF priority transfer deadline fallback. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
134130,University of Florida,Common_Data_Sets_2025/2024-25 University of Florida.pdf,True,5870,2633,2124,44.86,"Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
145637,University of Illinois Urbana-Champaign,Common_Data_Sets_2025/2024-25 University of Illinois at Urbana-Champaign.xlsx.pdf,False,,,,,"Could not confidently parse D2 applicants/admitted/enrolled.; Official UIUC transfer dates page fallback. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
170976,University of Michigan-Ann Arbor,Common_Data_Sets_2025/2024-25 University of Michigan.pdf,True,6832,2385,1580,34.91,"Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
199120,University of North Carolina at Chapel Hill,Common_Data_Sets_2025/2024-25 University of North Carolina at Chapel Hill.pdf,True,,,,36.5,"Could not confidently parse D2 applicants/admitted/enrolled.; Used legacy CDS.txt acceptance rate fallback.; Used legacy CDS.txt minimum credits fallback.; Used legacy CDS.txt max credits fallback.; Used legacy CDS.txt residency credits fallback.; Secondary-source UNC Chapel Hill transfer deadline estimate. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
152080,University of Notre Dame,Common_Data_Sets_2025/2024-25 University of Notre Dame.pdf,True,1064,267,203,25.09,"Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
215062,University of Pennsylvania,Common_Data_Sets_2025/2024-25 University of Pennsylvania.pdf,True,4521,145,100,3.21,"Used legacy CDS.txt max credits fallback.; Used legacy CDS.txt residency credits fallback. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
123961,University of Southern California,Common_Data_Sets_2025/2024-25 University of Southern California.pdf,True,11019,2381,1339,21.61,"Used legacy CDS.txt max credits fallback.; Used legacy CDS.txt residency credits fallback. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
228778,The University of Texas at Austin,Common_Data_Sets_2025/2024-25 University of Texas at Austin.pdf,True,10055,2267,1704,22.55,"Used legacy CDS.txt residency credits fallback. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
234076,University of Virginia-Main Campus,Common_Data_Sets_2025/2024-25 University of Virginia-Main Campus.pdf,True,4245,1357,851,31.97,"Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
240444,University of Wisconsin-Madison,Common_Data_Sets_2025/2024-25 University of Wisconsin-Madison.pdf,True,4516,2507,1373,55.51,"Could not confidently parse D2 applicants/admitted/enrolled.; Parsed AcroForm transfer totals. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
221999,Vanderbilt University,Common_Data_Sets_2025/2024-25 Vanderbilt University.xlsx.pdf,True,3202,698,,21.8,"Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
130794,Yale University,Common_Data_Sets_2025/2024-25 Yale University.pdf,True,2055,30,23,1.46,"Used legacy CDS.txt max credits fallback. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
164465,Amherst College,Common_Data_Sets_2025/2024-25 Amherst College.pdf,True,638,55,31,8.62,"Parsed CDS Section D from user-provided 2024-25 Amherst College PDF. Application fee recorded from CDS C13 when available, otherwise from the official application platform or admissions fee page."
161004,Bowdoin College,Common_Data_Sets_2025/2024-25 Bowdoin College.pdf,True,255,22,7,8.63,"Parsed Bowdoin 2024-25 CDS Section D AcroForm fields after text extraction omitted filled values. D2 reports 255 applicants, 22 admitted, 7 enrolled. D7 reports minimum college GPA 3.0; average transfer GPA is not published, so the app uses a sourced fallback estimate."
126614,University of Colorado Boulder,Common_Data_Sets_2025/2024-25 University of Colorado Boulder.pdf,True,4500,3239,1514,71.98,Parsed CDS Section D from user-provided 2024-25 University of Colorado Boulder PDF. Fall priority date is March 15; final closing date is June 1. Average transfer GPA is not published in CDS; the app uses an official program-level incoming transfer GPA fallback.
168342,Williams College,Common_Data_Sets_2025/2024-25 Williams College.pdf,True,543,15,6,2.76,"Parsed CDS Section D from user-provided 2024-25 Williams College PDF. Credit maximum is reported as courses. Average transfer GPA is not published, so the app uses a sourced fallback estimate."
